index,Last (Price),Change,Bid / Ask,Volume,Volume (4w avg),Turnover,Open,Day Range,VWAP,Prev Close,Last Trade,1 Week,1 Month,2023 YTD,1 Year,vs Sector (1yr),vs ASX 200 (1yr),Market Cap,ASX Rank,Sector Rank,Shares Issued,Sector,Similar Companies,EPS,DPS,Book Value Per Share,Breakdown,Recommendation,Last Updated,Ticker
Value,$23.15,"0.29
(-1.24%)","$23.12
-
$23.44","3,827,691","3,549,122","$89,319,231",$23.42,$23.13 - $23.60,$23.345,$23.44,6:58pm 03/11 (AEDT),+3.07%,+0.96%,-25.23%,-32.41%,-22.29%,-34.16%,"$13,109,666,745","38 of 2,408",4 of 219,"566,292,300",Healthcare,FPH / RHC / SHL,$0.615,$0.1894,$0.549,"10 Buy
· 7 Hold
· 0 Sell",Buy,01/10/23,RMD
Value,$247.58,"1.65
(0.67%)","$245.70
-
$248.52","104,162","140,143","$25,796,002",$247.27,$245.68 - $249.17,$247.655,$245.93,6:58pm 03/11 (AEDT),+2.04%,-2.81%,+21.29%,+27.30%,+37.41%,+25.54%,"$16,224,882,962","28 of 2,408",2 of 219,"65,533,900",Healthcare,SHL / RMD / FPH,$4.561,$3.30,$0.097,"3 Buy
· 12 Hold
· 9 Sell",Sell,01/10/23,COH
Value,$29.52,"0.32
(1.10%)","$29.41
-
$29.59","895,079","979,937","$26,407,444",$29.43,$29.30 - $29.63,$29.505,$29.20,6:58pm 03/11 (AEDT),+2.93%,-1.20%,-1.50%,-8.55%,+1.57%,-10.30%,"$14,005,162,117","33 of 2,408",3 of 219,"474,429,611",Healthcare,RMD / COH / FPH,$1.45,$1.04,-$0.112,"10 Buy
· 6 Hold
· 4 Sell",Hold,01/10/23,SHL
Value,$20.14,"0.41
(2.08%)","$19.90
-
$20.17","271,490","326,399","$5,464,069",$19.90,$19.79 - $20.27,$20.125,$19.73,6:58pm 03/11 (AEDT),+5.33%,+1.26%,-5.36%,+13.91%,+24.03%,+12.16%,"$11,724,910,789","41 of 2,408",5 of 219,"582,170,347",Healthcare,RHC / RMD / SHL,$0.43,$0.3762,$2.878,"1 Buy
· 9 Hold
· 7 Sell",Sell,01/10/23,FPH
Value,$50.70,"0.41
(0.82%)","$50.04
-
$50.77","407,709","404,744","$20,651,647",$50.59,$50.31 - $51.17,$50.66,$50.29,6:58pm 03/11 (AEDT),+3.68%,-0.94%,-21.64%,-12.48%,-2.37%,-14.24%,"$11,632,338,732","42 of 2,408",6 of 219,"229,434,689",Healthcare,FPH / RMD / SHL,$1.164,$0.75,-$8.756,"6 Buy
· 13 Hold
· 1 Sell",Hold,01/10/23,RHC
Value,$81.67,"1.78
(2.23%)","$81.60
-
$82.48","118,951","164,521","$9,725,630",$81.09,$80.60 - $82.38,$81.76,$79.89,6:58pm 03/11 (AEDT),+7.66%,-2.55%,+47.79%,+46.86%,+56.98%,+45.11%,"$8,530,862,636","60 of 2,408",7 of 219,"104,455,279",Healthcare,EBO / RHC / FPH,$0.58,$0.30,$1.124,"5 Buy
· 10 Hold
· 1 Sell",Hold,01/10/23,PME
Value,$33.96,"0.16
(0.47%)","$33.80
-
$34.00","10,469","18,946","$356,307",$34.28,$33.80 - $34.28,$34.035,$33.80,6:58pm 03/11 (AEDT),+4.88%,+4.91%,-17.01%,-0.70%,+9.41%,-2.46%,"$6,513,789,322","77 of 2,408",8 of 219,"191,807,695",Healthcare,PME / TLX / ANN,$1.446,$0.9093,-$0.325,"6 Buy
· 5 Hold
· 1 Sell",Buy,01/10/23,EBO
Value,$22.15,"0.40
(1.84%)","$22.00
-
$22.16","259,172","234,605","$5,721,887",$21.82,$21.82 - $22.18,$22.08,$21.75,6:58pm 03/11 (AEDT),+4.43%,+0.82%,-21.57%,-21.31%,-11.20%,-23.07%,"$2,785,846,610","147 of 2,408",10 of 219,"125,771,856",Healthcare,TLX / SNZ / NEU,$1.167,$0.6946,$2.107,"0 Buy
· 10 Hold
· 6 Sell",Sell,01/10/23,ANN
Value,$8.90,"0.02
(0.23%)","$8.90
-
$9.20",2,466,$18,$8.95,$8.90 - $8.95,$8.925,$8.88,6:58pm 03/11 (AEDT),-0.22%,-2.84%,+7.23%,-1.87%,+8.24%,-3.63%,"$2,085,104,300","177 of 2,408",11 of 219,"234,281,382",Healthcare,NEU / ANN / NAN,$1.153,$0.2685,$9.375,"6 Buy
· 3 Hold
· 0 Sell",Buy,01/10/23,SNZ
Value,$3.91,"0.04
(1.03%)","$3.89
-
$3.93","752,709","581,378","$2,945,450",$3.95,$3.83 - $4.03,$3.915,$3.87,6:58pm 03/11 (AEDT),+2.89%,-6.01%,-8.86%,-7.13%,+2.99%,-8.88%,"$1,183,195,779","275 of 2,408",13 of 219,"302,607,616",Healthcare,HLS / PNV / NEU,$0.065,$0.00,$0.541,"3 Buy
· 7 Hold
· 7 Sell",Sell,01/10/23,NAN
Value,$0.40,"0.00
(0.00)","$0.40
-
$0.405","17,501","185,870","$7,000",$0.40,$0.40 - $0.40,$0.40,$0.40,6:58pm 03/11 (AEDT),+2.56%,+1.27%,+11.11%,+1.27%,+3.28%,-0.49%,"$68,183,800","1,055 of 2,408",36 of 99,"170,459,499",Consumer Defensive,CSS / DBF / GDA,$0.031,$0.023,$0.179,,,,PTL
Value,$0.395,"0.00
(0.00)","$0.39
-
$0.40","92,577","45,439","$36,691",$0.40,$0.39 - $0.405,$0.3965,$0.395,6:58pm 03/11 (AEDT),-3.66%,-11.24%,-41.04%,-41.91%,-39.90%,-43.67%,"$56,859,911","1,118 of 2,408",39 of 99,"143,949,141",Consumer Defensive,GDA / DBF / EHH,$0.02,$0.03,$0.211,,,,MCP
Value,$0.12,"0.00
(0.00)","$0.115
-
$0.125","160,641","190,675","$19,277",$0.12,$0.12 - $0.12,$0.12,$0.12,6:58pm 03/11 (AEDT),-7.69%,-11.11%,+70.21%,+42.86%,-,+41.10%,"$19,561,607","1,556 of 2,408",63 of 99,"163,013,394",Consumer Defensive,OJC / FRM / WLD,-$0.022,$0.00,$0.032,,,,BIO
Value,$0.013,"0.00
(0.00)","$0.011
-
$0.013","300,000","453,684","$3,900",$0.013,$0.013 - $0.013,$0.013,$0.013,6:58pm 03/11 (AEDT),+8.33%,+18.18%,-45.83%,-51.85%,-49.84%,-53.61%,"$24,721,390","1,467 of 2,408",57 of 99,"1,901,645,398",Consumer Defensive,WNX / SFG / FOD,-$0.001,$0.00,$0.001,,,,BXN
Value,$0.11,"0.00
(0.00)","$0.12
-
$0.20",0,"1,029",$0,‐,‐ - ‐,‐,$0.11,6:58pm 03/11 (AEDT),0.00,0.00,-26.67%,-37.14%,-35.13%,-38.90%,"$14,859,128","1,683 of 2,408",66 of 99,"135,082,981",Consumer Defensive,NUC / BFC / E33,-$0.037,$0.00,$0.257,,,,S66
Value,$0.027,"0.002
(8.00%)","$0.026
-
$0.03","48,933","41,330","$1,407",$0.025,$0.025 - $0.03,$0.029,$0.025,6:58pm 03/11 (AEDT),-12.90%,-28.95%,-69.05%,-80.11%,-,-81.86%,"$6,686,294","2,014 of 2,408",78 of 99,"247,640,513",Consumer Defensive,YOW / AAP / EXL,-$0.088,$0.00,$0.022,,,,HPC
Value,$0.009,"0.00
(0.00)","$0.009
-
$0.01","1,958,812","592,619","$16,646",$0.009,$0.008 - $0.009,$0.0085,$0.009,6:58pm 03/11 (AEDT),+28.57%,+50.00%,-57.14%,-68.97%,-66.96%,-70.72%,"$5,682,095","2,094 of 2,408",80 of 99,"631,343,835",Consumer Defensive,1AG / AAP / EVE,-$0.02,$0.00,$0.014,,,,EXL
Value,$0.006,"0.00
(0.00)","$0.006
-
$0.007",0,"531,319",$0,‐,‐ - ‐,‐,$0.006,6:58pm 03/11 (AEDT),0.00,0.00,-62.63%,-73.53%,-71.52%,-75.28%,"$3,536,917","2,248 of 2,408",86 of 99,"589,486,095",Consumer Defensive,JJF / NZS / CCO,-$0.007,$0.00,$0.004,,,,SKN
Value,$0.004,"0.00
(0.00)","$0.003
-
$0.004","125,250","1,811,945",$501,$0.004,$0.004 - $0.004,$0.004,$0.004,6:58pm 03/11 (AEDT),+14.29%,-11.11%,-73.33%,-80.00%,-,-81.75%,"$3,268,477","2,271 of 2,408",89 of 99,"817,119,281",Consumer Defensive,NZS / JJF / SKN,-$0.016,$0.00,-$0.001,,,,CCO
Value,$0.01,"0.00
(0.00)","$0.009
-
$0.012",0,"138,590",$0,‐,‐ - ‐,‐,$0.01,6:58pm 03/11 (AEDT),-23.08%,0.00,-65.52%,-67.74%,-65.73%,-69.50%,"$2,788,001","2,299 of 2,408",92 of 99,"278,800,067",Consumer Defensive,FFF / HLF / HVM,-$0.007,$0.00,$0.01,,,,HCT
Value,$15.68,"0.13
(-0.82%)","$15.50
-
$15.84","3,318,064","3,078,372","$52,064,978",$15.94,$15.57 - $15.94,$15.69,$15.81,6:58pm 03/11 (AEDT),+1.10%,+0.84%,+16.75%,+24.35%,+27.86%,+22.59%,"$23,424,592,061","18 of 2,408",6 of 573,"1,493,915,310",Financial Services,SUN / IAG / VAS,$0.668,$0.44,$1.819,"16 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,QBE
Value,$13.52,"0.04
(-0.30%)","$13.40
-
$13.54","2,425,976","2,415,184","$32,811,388",$13.74,$13.47 - $13.74,$13.525,$13.56,6:58pm 03/11 (AEDT),+0.07%,-2.52%,+12.29%,+14.48%,+18.00%,+12.73%,"$17,173,951,893","26 of 2,408",7 of 573,"1,270,262,714",Financial Services,IAG / VAS / SOL,$0.885,$0.60,$6.304,"15 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,SUN
Value,$5.77,"0.04
(-0.69%)","$5.72
-
$5.80","3,828,550","5,630,267","$22,150,424",$5.83,$5.765 - $5.83,$5.785,$5.81,6:58pm 03/11 (AEDT),+1.41%,+2.30%,+21.47%,+16.10%,+19.62%,+14.34%,"$14,009,548,708","32 of 2,408",8 of 573,"2,427,998,043",Financial Services,VAS / SOL / ASX,$0.322,$0.15,$1.243,"7 Buy
· 8 Hold
· 2 Sell",Hold,01/10/23,IAG
Value,$3.46,"0.02
(0.58%)","$3.45
-
$3.48","2,741,059","5,847,753","$9,480,094",$3.45,$3.435 - $3.47,$3.46,$3.44,6:58pm 03/11 (AEDT),-0.86%,+0.58%,+17.29%,+19.31%,+22.83%,+17.56%,"$9,528,851,210","52 of 2,408",12 of 573,"2,754,003,240",Financial Services,AFI / ASX / SOL,$0.186,$0.146,$0.638,"8 Buy
· 7 Hold
· 0 Sell",Buy,01/10/23,MPL
Value,$5.52,"0.05
(0.91%)","$5.40
-
$5.59","2,544,358","1,641,391","$14,028,278",$5.49,$5.42 - $5.54,$5.515,$5.47,6:58pm 03/11 (AEDT),-1.25%,-1.08%,+0.91%,+8.88%,+12.39%,+7.12%,"$5,732,861,660","88 of 2,408",18 of 573,"1,038,561,895",Financial Services,IVV / VGS / BEN,$0.184,$0.15,-$0.28,"8 Buy
· 7 Hold
· 0 Sell",Buy,01/10/23,SDF
Value,$7.35,"0.07
(0.96%)","$7.35
-
$7.50","691,828","816,518","$5,087,973",$7.37,$7.30 - $7.40,$7.355,$7.28,6:58pm 03/11 (AEDT),+1.10%,-0.54%,-5.16%,+6.37%,+9.89%,+4.61%,"$3,559,434,149","117 of 2,408",27 of 573,"484,276,755",Financial Services,BOQ / VTS / NDQ,$0.403,$0.28,$1.027,"6 Buy
· 9 Hold
· 1 Sell",Buy,01/10/23,NHF
Value,$27.68,"0.48
(1.77%)","$27.50
-
$27.84","350,894","209,517","$9,731,976",$27.44,$27.23 - $27.92,$27.72,$27.20,6:58pm 03/11 (AEDT),+0.65%,-3.79%,+22.86%,+30.63%,+34.15%,+28.87%,"$3,000,667,562","135 of 2,408",35 of 573,"108,405,620",Financial Services,VHY / GOLD / AMP,$0.651,$0.64,-$6.245,"13 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,AUB
Value,$4.36,"0.16
(-3.54%)","$4.25
-
$4.45","707,680","63,207","$3,121,579",$4.43,$4.20 - $4.45,$4.345,$4.52,6:58pm 03/11 (AEDT),-4.60%,-8.98%,-12.97%,-11.92%,-8.40%,-13.67%,"$1,567,332,687","233 of 2,408",61 of 573,"359,479,974",Financial Services,MFF / PPH / WAM,$0.157,$0.135,-$0.184,"8 Buy
· 3 Hold
· 0 Sell",Strong Buy,01/10/23,PSI
Value,$0.53,"0.01
(1.92%)","$0.52
-
$0.535","116,413","106,991","$61,305",$0.535,$0.525 - $0.535,$0.5265,$0.52,6:58pm 03/11 (AEDT),-1.85%,+7.07%,+13.98%,+9.28%,+12.80%,+7.52%,"$350,350,483","521 of 2,408",179 of 573,"661,038,648",Financial Services,F100 / ALI / WDIV,$0.033,$0.03,$0.692,,,,CVW
Value,$1.505,"0.00
(0.00)","$1.50
-
$1.55",0,"60,048",$0,‐,‐ - ‐,‐,$1.505,6:58pm 03/11 (AEDT),-2.90%,-5.05%,+21.37%,+29.18%,+32.70%,+27.43%,"$286,868,428","585 of 2,408",206 of 573,"190,610,251",Financial Services,IHD / PLUS / GBND,$0.024,$0.02,$0.295,"7 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,GDG
Value,$45.50,"0.12
(0.26%)","$45.50
-
$45.52","6,766,318","7,345,298","$308,576,546",$45.80,$45.43 - $45.88,$45.61,$45.38,6:58pm 03/11 (AEDT),+1.27%,+2.02%,-0.28%,+19.80%,+5.93%,+18.05%,"$230,627,660,309","1 of 2,408",1 of 978,"5,068,739,787",Basic Materials,FMG / RIO / NCM,$2.547,$2.6143,$8.184,"11 Buy
· 9 Hold
· 3 Sell",Buy,01/10/23,BHP
Value,$23.23,"0.02
(-0.09%)","$23.15
-
$23.24","4,598,296","4,429,937","$106,123,851",$23.39,$23.06 - $23.47,$23.26,$23.25,6:58pm 03/11 (AEDT),+4.59%,+10.30%,+13.26%,+52.03%,+38.16%,+50.28%,"$71,524,355,045","7 of 2,408",2 of 978,"3,078,964,918",Basic Materials,RIO / NCM / NEM,$1.557,$1.75,$5.745,"2 Buy
· 3 Hold
· 15 Sell",Strong Sell,01/10/23,FMG
Value,$58.94,"0.69
(1.19%)","$58.50
-
$60.00","324,292","851,714","$19,134,266",$59.26,$58.50 - $59.45,$59.005,$58.25,6:58pm 03/11 (AEDT),-0.94%,-0.94%,-0.94%,-0.94%,-,-2.70%,"$20,786,006,847","20 of 2,408",5 of 978,"352,663,842",Basic Materials,NCM / JHX / S32,-$1.06,$0.00,$21.871,,,,NEM
Value,$122.60,"0.84
(0.69%)","$122.00
-
$122.68","1,560,659","1,213,521","$190,221,819",$121.54,$121.52 - $123.15,$122.52,$121.76,6:58pm 03/11 (AEDT),+4.19%,+6.76%,+5.32%,+35.38%,+21.51%,+33.63%,"$45,511,107,836","11 of 2,408",3 of 978,"371,216,214",Basic Materials,NCM / NEM / FMG,$5.27,$5.8738,$29.015,"12 Buy
· 5 Hold
· 1 Sell",Buy,01/10/23,RIO
Value,$13.79,"0.13
(0.95%)","$13.74
-
$13.79","4,111,185","2,242,606","$56,310,980",$13.67,$13.63 - $13.79,$13.715,$13.66,6:58pm 03/11 (AEDT),+1.70%,-2.96%,-22.09%,-19.92%,-33.79%,-21.67%,"$8,847,212,777","56 of 2,408",13 of 978,"641,567,279",Basic Materials,BSL / OZL / PMGOLD,$0.655,$0.7394,-$1.982,"1 Buy
· 6 Hold
· 6 Sell",Sell,01/10/23,AMC
Value,$41.10,"0.23
(0.56%)","$40.55
-
$41.80","984,502","1,015,583","$40,348,177",$41.56,$40.55 - $41.61,$41.00,$40.87,6:58pm 03/11 (AEDT),+6.09%,+0.98%,+55.68%,+24.36%,+10.48%,+22.60%,"$17,992,463,642","25 of 2,408",6 of 978,"437,772,838",Basic Materials,NEM / NCM / S32,$1.14,$0.00,$2.866,"14 Buy
· 3 Hold
· 1 Sell",Strong Buy,01/10/23,JHX
Value,$3.32,"0.00
(0.00)","$3.31
-
$3.33","9,145,589","16,906,395","$30,433,783",$3.35,$3.31 - $3.36,$3.33,$3.32,6:58pm 03/11 (AEDT),+2.47%,-4.87%,-17.00%,-9.78%,-23.66%,-11.54%,"$15,037,138,446","30 of 2,408",7 of 978,"4,529,258,568",Basic Materials,NST / JHX / MIN,-$0.038,$0.1232,$2.017,"14 Buy
· 5 Hold
· 0 Sell",Strong Buy,01/10/23,S32
Value,$11.62,"0.04
(0.35%)","$11.60
-
$11.62","4,386,552","5,248,814","$50,875,209",$11.58,$11.47 - $11.67,$11.585,$11.58,6:58pm 03/11 (AEDT),-3.17%,+10.77%,+6.51%,+34.34%,+20.46%,+32.58%,"$13,353,949,368","35 of 2,408",8 of 978,"1,149,221,116",Basic Materials,MIN / S32 / PLS,$0.503,$0.265,$7.315,"10 Buy
· 8 Hold
· 0 Sell",Buy,01/10/23,NST
Value,$61.07,"1.42
(2.38%)","$61.00
-
$61.60","780,159","961,879","$47,903,241",$61.35,$61.07 - $61.94,$61.40,$59.65,7:57pm 03/11 (AEDT),+3.33%,-9.57%,-20.89%,-13.02%,-26.89%,-14.77%,"$11,920,035,158","39 of 2,408",9 of 978,"195,186,428",Basic Materials,PLS / NST / PMGOLD,$3.805,$1.90,$17.689,"13 Buy
· 4 Hold
· 3 Sell",Buy,01/10/23,MIN
Value,$3.75,"0.11
(3.02%)","$3.74
-
$3.75","32,842,788","31,521,298","$124,051,190",$3.77,$3.71 - $3.85,$3.775,$3.64,6:58pm 03/11 (AEDT),-2.85%,-10.93%,0.00,-25.45%,-39.32%,-27.20%,"$11,285,484,975","43 of 2,408",10 of 978,"3,009,462,660",Basic Materials,MIN / PMGOLD / OZL,$0.789,$0.25,$1.126,"11 Buy
· 8 Hold
· 2 Sell",Buy,01/10/23,PLS
Value,$34.36,"0.41
(1.21%)","$33.00
-
$36.08","69,788","224,082","$2,403,658",$34.47,$34.36 - $34.75,$34.44,$33.95,6:58pm 03/11 (AEDT),+2.41%,+4.98%,+26.05%,+32.87%,+28.01%,+31.12%,"$977,544,268","293 of 2,408",13 of 97,"28,450,066",Communication Services,TUA / ABB / OML,$0.26,$0.2133,$0.763,"11 Buy
· 2 Hold
· 0 Sell",Strong Buy,01/10/23,NWS
Value,$32.00,"0.26
(-0.81%)","‐
-
‐",175,"13,181","$5,628",$32.25,$32.00 - $32.25,$32.16,$32.26,6:58pm 03/11 (AEDT),-0.62%,+3.23%,+23.08%,+24.13%,-,+22.37%,"$123,648,096","869 of 2,408",-,"3,864,003",N/A,-,$0.26,$0.2133,$0.763,,,,NWSLV
Value,$155.40,"3.31
(2.18%)","$154.00
-
$156.65","189,854","181,347","$29,490,876",$155.00,$153.48 - $156.48,$155.335,$152.09,6:58pm 03/11 (AEDT),+5.51%,+1.02%,+40.25%,+31.75%,+26.90%,+30.00%,"$20,531,015,522","22 of 2,408",2 of 97,"132,117,217",Communication Services,CAR / TPG / SPK,$2.695,$1.58,$4.479,"3 Buy
· 9 Hold
· 7 Sell",Sell,01/10/23,REA
Value,$28.65,"0.09
(0.32%)","$28.15
-
$28.97","960,407","1,226,651","$27,602,775",$29.02,$28.57 - $29.13,$28.74,$28.56,6:58pm 03/11 (AEDT),+2.91%,+3.96%,+38.99%,+38.06%,+33.21%,+36.31%,"$10,801,547,364","45 of 2,408",3 of 97,"377,017,360",Communication Services,TPG / SPK / SEK,$1.811,$0.61,-$2.949,"13 Buy
· 7 Hold
· 0 Sell",Buy,01/10/23,CAR
Value,$21.80,"0.16
(0.74%)","$21.60
-
$22.18","986,774","840,007","$21,538,807",$21.89,$21.65 - $22.04,$21.83,$21.64,6:58pm 03/11 (AEDT),+4.86%,-1.62%,+4.06%,+0.65%,-4.21%,-1.11%,"$7,765,600,142","68 of 2,408",6 of 97,"356,220,190",Communication Services,SPK / TPG / CAR,$0.564,$0.47,$0.19,"10 Buy
· 5 Hold
· 2 Sell",Buy,01/10/23,SEK
Value,$1.915,"0.035
(1.86%)","$1.905
-
$1.925","1,942,500","2,908,145","$3,722,481",$1.91,$1.9025 - $1.93,$1.9165,$1.88,6:58pm 03/11 (AEDT),+5.22%,-6.59%,+4.08%,-9.24%,-14.10%,-11.00%,"$3,114,308,188","132 of 2,408",9 of 97,"1,626,270,594",Communication Services,CNU / VOC / UWL,$0.11,$0.11,-$0.471,"9 Buy
· 5 Hold
· 0 Sell",Buy,01/10/23,NEC
Value,$3.60,"0.00
(0.00)","$3.58
-
$3.62","1,181,415","723,777","$4,299,739",$3.63,$3.60 - $3.71,$3.64,$3.60,6:58pm 03/11 (AEDT),+1.69%,-7.93%,+32.84%,+8.11%,+3.25%,+6.35%,"$2,273,965,751","172 of 2,408",11 of 97,"631,657,153",Communication Services,EVT / CNU / NEC,$0.058,$0.06,-$0.449,"1 Buy
· 10 Hold
· 6 Sell",Sell,01/10/23,DHG
Value,$10.85,"0.13
(1.21%)","$10.75
-
$11.00","142,629","118,664","$1,552,445",$10.93,$10.77 - $11.04,$10.885,$10.72,6:58pm 03/11 (AEDT),+3.93%,-0.73%,-14.77%,-25.89%,-30.74%,-27.64%,"$1,760,687,623","204 of 2,408",12 of 97,"162,275,357",Communication Services,DHG / NWS / TUA,$0.655,$0.46,$2.347,"6 Buy
· 4 Hold
· 0 Sell",Buy,01/10/23,EVT
Value,$1.345,"0.03
(2.28%)","$1.31
-
$1.39","265,533","602,027","$355,796",$1.33,$1.325 - $1.355,$1.34,$1.315,6:58pm 03/11 (AEDT),+3.46%,-4.95%,+4.67%,+3.07%,-1.79%,+1.31%,"$724,660,830","354 of 2,408",16 of 97,"538,781,286",Communication Services,OPC / MNF / ABB,$0.054,$0.0475,$0.112,"6 Buy
· 4 Hold
· 0 Sell",Buy,01/10/23,OML
Value,$0.27,"0.005
(1.89%)","$0.265
-
$0.27","1,044,006","1,128,745","$281,155",$0.27,$0.265 - $0.275,$0.2695,$0.265,6:58pm 03/11 (AEDT),+1.89%,-11.48%,-31.65%,-44.90%,-49.75%,-46.65%,"$419,464,235","467 of 2,408",21 of 97,"1,553,571,241",Communication Services,HTA / SKT / HT1,$0.092,$0.00,-$0.216,"1 Buy
· 9 Hold
· 6 Sell",Sell,01/10/23,SWM
Value,$6.88,"0.10
(1.48%)","$6.87
-
$6.93","445,370","389,981","$3,052,915",$6.79,$6.79 - $6.93,$6.855,$6.78,6:58pm 03/11 (AEDT),+5.20%,+0.58%,-7.77%,-4.58%,-,-6.33%,"$8,576,260,182","59 of 2,408",13 of 573,"1,246,549,445",Financial Services,MPL / ARG / MGOC,$0.00,$0.25,$0.00,,,,AFI
Value,$8.47,"0.07
(0.83%)","$8.42
-
$8.50","272,957","236,408","$2,312,000",$8.45,$8.45 - $8.51,$8.47,$8.40,6:58pm 03/11 (AEDT),+2.29%,-1.74%,-5.26%,-4.29%,-,-6.05%,"$6,424,997,686","80 of 2,408",14 of 573,"758,559,349",Financial Services,MGOC / VGS / IVV,$0.00,$0.345,$0.00,,,,ARG
Value,$1.78,"0.01
(0.57%)","$1.78
-
$1.785","2,013,454","2,651,605","$3,596,871",$1.79,$1.78 - $1.795,$1.7865,$1.77,6:58pm 03/11 (AEDT),+2.01%,+8.21%,+25.80%,+32.84%,-,+31.08%,"$2,520,346,863","155 of 2,408",42 of 573,"1,415,925,204",Financial Services,ETHI / BFL / VGAD,$0.00,$0.0735,$0.00,,,,MGF
Value,$2.02,"0.00
(0.00)","$2.02
-
$2.03","1,130,653","1,119,174","$2,290,677",$2.03,$2.02 - $2.03,$2.025,$2.02,6:58pm 03/11 (AEDT),0.00,0.00,+3.32%,+6.32%,-,+4.56%,"$1,783,487,246","199 of 2,408",54 of 573,"882,914,478",Financial Services,LSF / WLE / PNI,$0.00,$0.172,$0.00,,,,MXT
Value,$1.38,"0.00
(0.00)","$1.38
-
$1.385","968,339","758,688","$1,341,733",$1.39,$1.375 - $1.395,$1.3855,$1.38,6:58pm 03/11 (AEDT),0.00,-8.61%,-5.80%,-10.10%,-,-11.85%,"$1,738,802,034","207 of 2,408",56 of 573,"1,260,001,474",Financial Services,PNI / VAF / LSF,$0.00,$0.13,$0.294,,,,WLE
Value,$2.86,"0.06
(2.14%)","$2.82
-
$2.86","533,122","379,764","$1,509,543",$2.81,$2.80 - $2.86,$2.83,$2.80,6:58pm 03/11 (AEDT),+5.15%,+1.42%,+3.25%,+16.26%,-,+14.51%,"$1,771,649,131","201 of 2,408",55 of 573,"619,457,738",Financial Services,MXT / WLE / PNI,$0.00,$0.105,$0.00,,,,LSF
Value,$1.54,"0.03
(1.99%)","$1.54
-
$1.56","692,079","983,308","$1,060,390",$1.52,$1.52 - $1.56,$1.532,$1.51,6:58pm 03/11 (AEDT),+3.70%,-10.20%,-4.94%,-9.41%,-,-11.17%,"$1,704,802,211","215 of 2,408",59 of 573,"1,107,014,423",Financial Services,VAF / PNI / WLE,$0.00,$0.155,$0.00,,,,WAM
Value,$2.82,"0.02
(0.71%)","$2.82
-
$2.83","203,553","260,725","$575,925",$2.83,$2.82 - $2.84,$2.83,$2.80,6:58pm 03/11 (AEDT),+0.36%,-4.73%,+23.68%,+21.03%,-,+19.28%,"$1,625,761,257","222 of 2,408",60 of 573,"576,511,084",Financial Services,PSI / WAM / VAF,$0.00,$0.095,$0.00,,,,MFF
Value,$1.705,"0.00
(0.00)","$1.70
-
$1.71","118,615","240,370","$202,279",$1.70,$1.70 - $1.71,$1.7055,$1.705,6:58pm 03/11 (AEDT),-0.29%,-1.73%,-5.01%,+0.29%,-,-1.46%,"$1,368,816,518","251 of 2,408",64 of 573,"802,824,937",Financial Services,IFL / IXJ / MFG,$0.00,$0.082,$0.00,,,,BKI
Value,$9.49,"0.01
(0.11%)","$9.49
-
$9.53","20,678","19,628","$196,547",$9.48,$9.48 - $9.53,$9.505,$9.48,6:58pm 03/11 (AEDT),+0.53%,-1.35%,-0.52%,+2.15%,-,+0.40%,"$1,200,307,679","269 of 2,408",70 of 573,"126,481,315",Financial Services,QPON / LFG / HLI,$0.00,$0.37,$0.00,,,,AUI
Value,$244.00,"5.90
(2.48%)","$243.95
-
$244.10","1,098,729","940,363","$269,328,077",$239.99,$239.60 - $244.155,$243.065,$238.10,6:58pm 03/11 (AEDT),+4.12%,-0.96%,-15.21%,-12.34%,-2.22%,-14.09%,"$117,867,820,228","3 of 2,408",1 of 219,"483,064,837",Healthcare,COH / SHL / RMD,$4.53,$3.6292,-$1.366,"17 Buy
· 3 Hold
· 0 Sell",Strong Buy,01/10/23,CSL
Value,$9.24,"0.14
(1.54%)","$9.20
-
$9.27","857,962","1,053,843","$7,981,502",$9.24,$9.18 - $9.445,$9.305,$9.10,6:58pm 03/11 (AEDT),+6.82%,-18.95%,+27.10%,+36.08%,+46.20%,+34.33%,"$2,987,888,488","137 of 2,408",9 of 219,"323,364,555",Healthcare,ANN / SNZ / NEU,-$0.149,$0.00,$0.028,"10 Buy
· 1 Hold
· 1 Sell",Strong Buy,01/10/23,TLX
Value,$12.25,"0.96
(8.50%)","$12.08
-
$12.39","1,682,266","443,894","$21,465,416",$12.41,$12.075 - $13.92,$12.745,$11.29,6:58pm 03/11 (AEDT),+20.33%,+9.57%,+54.09%,+63.33%,+73.45%,+61.58%,"$1,550,429,531","236 of 2,408",12 of 219,"126,565,676",Healthcare,NAN / HLS / SNZ,$0.436,$0.00,$0.322,"7 Buy
· 1 Hold
· 1 Sell",Buy,01/10/23,NEU
Value,$15.46,"0.53
(3.55%)","$15.46
-
$15.59","49,371","74,633","$762,357",$15.05,$15.05 - $15.63,$15.44,$14.93,6:58pm 03/11 (AEDT),+0.85%,+4.88%,-28.66%,-20.72%,-10.60%,-22.47%,"$763,883,825","342 of 2,408",18 of 219,"49,410,338",Healthcare,REG / API / EHE,$0.591,$0.05,$3.328,"6 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,CUV
